date,Barcelona_CO,Malaga_CO,Bilbao_CO,SanSebastian_CO,Warsaw_CO,Belgrade_CO,Rome_CO,Lisbon_CO,Madrid_CO,Paris_CO,Seville_CO,Valencia_CO,Barcelona_SO2,Malaga_SO2,Bilbao_SO2,SanSebastian_SO2,Warsaw_SO2,Belgrade_SO2,Rome_SO2,Lisbon_SO2,Madrid_SO2,Paris_SO2,Seville_SO2,Valencia_SO2,Barcelona_NO2,Malaga_NO2,Bilbao_NO2,SanSebastian_NO2,Warsaw_NO2,Belgrade_NO2,Rome_NO2,Lisbon_NO2,Madrid_NO2,Paris_NO2,Seville_NO2,Valencia_NO2,Barcelona_PM10,Malaga_PM10,Bilbao_PM10,SanSebastian_PM10,Warsaw_PM10,Belgrade_PM10,Rome_PM10,Lisbon_PM10,Madrid_PM10,Paris_PM10,Seville_PM10,Valencia_PM10,Barcelona_PM2p5,Malaga_PM2p5,Bilbao_PM2p5,SanSebastian_PM2p5,Warsaw_PM2p5,Belgrade_PM2p5,Rome_PM2p5,Lisbon_PM2p5,Madrid_PM2p5,Paris_PM2p5,Seville_PM2p5,Valencia_PM2p5,Barcelona_O3,Malaga_O3,Bilbao_O3,SanSebastian_O3,Warsaw_O3,Belgrade_O3,Rome_O3,Lisbon_O3,Madrid_O3,Paris_O3,Seville_O3,Valencia_O3,Rome_MDAQI,Lisbon_MDAQI,Madrid_MDAQI,Valencia_MDAQI,Paris_MDAQI,Barcelona_MDAQI,Malaga_MDAQI,Bilbao_MDAQI,SanSebastian_MDAQI,Warsaw_MDAQI,Belgrade_MDAQI,Seville_MDAQI
2018-07-10,133.3286163032143,93.88761865476191,107.01461680711309,104.80419624244048,171.21651472410713,181.3191825315476,171.13885393303573,96.33614453705356,93.85764687395833,179.092548235119,92.92287792505952,93.71334911458335,5.526067703610118,7.420317306425595,0.5217654776875,0.4400843193690476,5.887366180729168,6.440065843351191,1.1985312515863096,1.3990836220803569,1.559968449279762,2.3262658246964287,2.2122958611309524,1.7696764664166669,19.967468094907737,10.59586614479167,4.721905455190476,3.78315810821131,11.48342413269643,9.268641758264879,15.234426042119045,4.900429437366071,2.4907464979375002,23.969389359101193,3.1365984816964283,2.9063905149285714,19.799860944398805,42.656881854702384,11.522874935880951,11.230583297982141,11.396732545494048,21.118054256541665,17.61659256185119,22.38546486708035,14.126315765982143,21.422397426473214,36.8926646796131,23.549865097276786,13.222709038443451,21.837445523315473,8.91809505786905,8.658608594711309,9.0800886706875,17.16852249995238,12.010506221026786,13.00818330326488,9.690609966011904,14.85079101289881,18.958110326872024,11.947363145392856,74.02498392760417,90.10004026636905,78.72157843380951,78.62101232583333,60.75728665092858,38.913105391955355,78.99507185922619,86.6277477416369,76.06585988877976,76.28257551133927,95.90264608892855,94.74231821127977,1.5538224040208621,1.5498236484214714,1.2423990013231403,1.6003362010874558,1.7692205273700492,1.6676817766054461,2.1662405781364438,1.244246842329394,1.2195316976232373,1.2400545693731837,1.27928253395306,1.9253813783415503
2018-07-24,154.96913957619049,101.38361515297619,114.78674588541669,111.31914495104168,186.34093942916667,200.17035270803572,212.9510294830357,106.284137454375,101.15678889294644,183.23814653154759,99.39389097122026,101.33575943425595,6.473514468113096,7.918644203520833,0.6797699600476191,0.6502150191934525,5.836446193002976,5.648011506604168,1.1213340874375,1.662730759291667,1.341971851104167,2.4258034914077378,2.729710101645833,2.3095472172797615,23.99030201331548,9.967712116098213,5.672448450351191,4.536044813345238,11.49770857472619,9.368742430866073,15.89274277016369,6.066129913678572,2.2321897360297616,23.915852434785712,2.8149935132738095,3.822748924241072,23.108778715,32.732345751339295,15.883470763860117,15.43753069341071,13.743520284255952,20.89104851077381,17.090271952669646,19.409754094880952,17.634260566190477,21.422518462026783,28.364661770178575,22.142738520773815,16.551416550363093,20.100696112291665,11.986688285839287,11.452573613053572,10.381751491973215,15.997300094050592,13.599252344327383,14.163562410026785,12.428185715785714,14.307203410589286,18.320666084824403,14.141565921511907,73.76524400339882,90.83857699568452,81.51170885119049,80.37440238136904,63.51258937494644,29.838950994434523,77.34314651013987,90.43498179952381,78.92688115574404,80.5322658624107,100.19688437110119,92.83001389961309,1.58414158326023,1.604168124168353,1.3672536910557471,1.6352820229375358,1.8029804033145955,1.8493710061868012,2.0247713722463976,1.4071119459451662,1.3614378298419416,1.3268774147409879,1.151528577898073,1.8651648497696898
2018-08-07,131.82504197470237,100.32118842619047,104.96458832380951,103.71350386163692,192.3745252752976,212.43932733035714,215.50392366607144,100.70870790083335,97.97133586419645,164.82666576428574,98.11347391479167,99.9032341642857,4.789853808785715,5.373660408392857,0.5798255683779763,0.5471399146369047,8.389184895627977,9.707604875604167,0.9843877729761904,1.1435152151547618,1.4126089314107144,1.992033883032738,1.3852908093363097,1.665123957877976,18.574733695803577,8.227371796967264,4.708532944583333,3.686371486735118,14.184633919854168,10.918357035916667,17.361734455083333,4.072970010690476,2.45180016108631,19.658002572428565,1.5969609120505954,2.62101774627381,14.182024646464287,31.397918258401784,10.240185345342264,10.232196646065475,14.357723632711311,22.524394035119048,14.204745780869045,15.058434260041665,11.161203648553572,15.886786987336308,26.09210046552976,15.739149983410714,9.551934436797618,18.99557681963691,6.809254011220238,6.630910977809523,11.280688651797618,19.093258011946432,11.445545774047618,8.874369016660715,7.373697645026785,10.361929564285715,14.759513425526785,8.26897059592262,61.35106135799703,91.29467448797618,64.49562634193452,64.68479841645832,65.58777783022619,44.391360369258926,61.62839342429465,82.49893748315476,68.93537961907738,51.13486382415773,96.4941271596131,83.89477980645833,1.3597092336314396,1.3196822325960493,1.0821642690427888,1.314929466689205,1.2782725004109212,1.3621508645188392,1.9317797396238212,1.0350449032311613,1.018033130910554,1.4480863160363293,1.4686350457233726,1.6870594836394057
2018-08-21,156.48270507202378,113.68804936309523,126.69794640848214,124.63022025571429,217.27425407172623,223.75309490238098,212.77002925267857,117.49313277142858,113.51143287309523,196.40422037678573,112.29700651636907,117.26037600077382,4.547123959416667,5.429058419175596,0.5382717135238094,0.5061456352678572,8.27160185856845,10.253173965232142,1.0963976075595236,1.266534697970238,1.601091968639881,2.5276394697529763,1.5258741205595239,2.0275353688184525,18.716755582479163,8.23836603327381,5.4938932469434505,4.2193612430059515,14.265216451735117,10.992688273321425,14.50324335197619,4.885402695008929,2.9840945216130947,23.712473263056552,1.7413049155654765,3.257581762877976,16.88356797899702,29.275144775773807,11.29284663844345,11.047798109761903,14.685298309276787,24.303323058755954,15.214065031589286,17.137593540547616,13.2985966208125,18.385618827122023,22.58010856911607,17.995886654991075,11.631551551029764,15.613214918550595,7.964658955020832,7.624223723247026,11.093547217645833,20.351253186035713,11.165945761008928,9.740239052773807,9.098720750639881,12.274643850366074,11.97408460730655,9.117540335348215,62.709375364357136,94.16989908842262,70.11359968601191,70.34200698967263,54.73482833569941,38.25477003904167,68.97231227986904,80.1517303223512,63.78311333250001,48.818908166949385,96.95706313217264,81.24053111538691,1.4023509850794382,1.3544958229043706,1.1041835936858766,1.3490189719804384,1.3953894888142266,1.4571378311088563,1.8670539497255103,1.1464657007762273,1.1199344578183255,1.3399957135378053,1.4634339431361891,1.5982174363588797
2018-09-04,170.58788794672617,104.00913454113098,139.08752236925596,136.981240041875,254.276749975,253.94441459077376,259.93237123095236,114.83418582976192,117.23381206062501,235.0079932002976,105.09757351011903,114.84257318928572,6.212239055357142,5.621208485354166,0.4593420788630952,0.4353461412113096,9.351873050238094,6.889023016690478,1.4279105317232141,1.1150000118273808,1.103019329547619,3.252295139654762,1.479290584113095,1.4393220710535715,25.64873080721726,8.584227009886906,5.950990414651785,4.613857583473213,16.54626077194345,10.35820002428869,23.113702392038686,3.18821226927381,1.6474655695595237,31.414339440267856,1.8428246640654762,2.115851423372024,17.349656310863093,42.10882812165179,11.375220711848213,11.309577787285713,23.954648734723214,23.27960393269047,19.47562337923512,14.941088230982142,12.101371995607142,21.1933080783125,33.50732130389286,14.80926867550893,12.686444765071428,24.059986215485118,8.692475379925595,8.790157136541668,15.889136890505954,19.012877904065476,14.734371571348209,9.305764323375,8.98802291254762,14.97472381584524,17.755918574419642,8.973391349738096,60.53588050861308,77.11234327178572,72.61130588380952,74.5141883119345,44.78678333807142,37.48925665707441,60.71022959934523,81.15991647958333,68.0178792985119,51.34983242627976,87.97796140404763,89.65966838934523,1.578175634078066,1.3047115190718845,1.1082143126169695,1.3738322642710326,1.6387754215679797,1.5849554357809823,2.0247347094210615,1.197818515269347,1.199688816157315,1.5008265921111688,1.3678642420042093,1.753658533073711
2018-09-18,166.83600082678572,106.3016505454464,130.5125538949107,129.16846936065477,232.48135434940474,223.7116629267857,209.94899625000002,120.35352368860119,116.59324916142855,210.98019974345237,105.84132528375002,117.14051780288688,6.155675919622024,4.98346980372619,0.6399706069732142,0.6263259098125001,9.142117877782738,9.128157158642859,1.2225759817946429,1.397979231714286,1.7512928053244052,2.880034270032738,1.4241896562678573,2.1547718679910712,25.297217316541666,7.11216194073512,5.659928033720237,4.258344374395834,15.840427623681546,10.435730022258927,19.225220344425594,4.661733333592262,2.4813399138958334,27.457544019250005,1.704126033866071,4.123315608770834,21.050610119214287,28.284381210803577,11.873346998511904,11.974237162511907,16.705297495741068,20.218829147163692,14.77884514907738,14.134250947294642,12.116050168800594,19.346337305663692,21.921089739955356,16.639894180214284,13.431566019624997,16.481607706595238,8.450426863056547,8.362579266276786,12.83740538500893,15.819699912610123,11.036770480800593,9.194972129092262,8.087489633348216,12.519826724541668,12.369087820270835,9.346679614794644,55.45206313621726,83.73805413824404,70.06093129672618,71.23843694279762,53.21221424021429,48.12787504721725,55.983286241744054,74.74516830068453,68.11614006157738,46.31879491904761,88.51070929702382,81.23045684565477,1.3259360096907518,1.2520170726313655,1.1094618218825878,1.3526314627950047,1.4456537408876715,1.5831493504825815,1.7433364599386316,1.1677321819942013,1.1591983096597531,1.4224375406936338,1.3974487171924121,1.5082807682970993
2018-10-02,164.30088770089284,107.3031507453869,127.3818594602976,125.06156769202381,289.36809785089287,260.63924925654754,248.8282401199405,119.32477930607145,112.8049325717262,230.75508674196428,106.81487769080356,116.80492723744047,6.784565275297618,6.065596347098214,0.49509000800892855,0.4587948272499999,14.170455231630951,13.436890364488097,1.3551129308333334,1.408962446654762,1.5424932934166669,3.6196039876101196,1.9065069782261903,2.2746236036904763,23.233441621532737,8.690777749642857,6.174474228735119,4.883625304059524,19.000749726860125,11.287018044553575,22.950379008241068,5.086256259648811,2.5821181193005955,33.701624990812505,2.579550375592262,4.192714320220238,15.285231994005953,18.971771390330357,8.27539085166369,8.827955851300596,23.613899252333333,36.17620538829464,15.386462840250001,10.095544130744047,9.03950330816964,22.39343913263988,16.600223287282738,11.013756742836307,10.209180868967263,9.841019312404763,5.848127498336309,6.281537333020833,17.57994948422024,27.498655400369053,12.112532468383929,6.601101804080357,6.334837444523809,16.590776392497027,8.015435117723216,6.0892553897559525,50.2342448229494,76.19856768610119,58.38320006071429,58.97159386815476,40.92242442133928,39.709705867035716,49.86734629264286,70.40347337199404,63.89669504654761,40.66395960101785,82.75089909958332,75.8980065702381,1.3556478684949373,1.110072656022974,0.9900913126434029,1.1646672538089664,1.6123640246246427,1.3722468018401035,1.4503500946194718,0.9527523127381133,0.9556875122199239,1.6010533310494333,1.8246614836742068,1.311235536046713
2018-10-16,189.77459871041668,116.77261030294643,153.62508555803575,150.04094307738094,296.7409035380952,235.44604791875005,219.82334520803573,129.33401239642856,123.71238149791664,246.74480379017857,117.38660628514883,131.53707519952383,7.353002875395835,4.144415226047618,0.6537524459940476,0.6238013574880952,13.576128455770831,9.345038517449405,1.2657363402380948,1.1718354403809526,1.7375940124285714,4.2729064400267855,1.7162902238125002,2.4615494091875,26.057457810270837,6.6505687861875,6.399904769145833,4.862024197946428,20.204986227401786,10.942825777851194,17.94460815077976,4.930723818627976,2.4220147524672617,34.574793034732146,2.346088103788691,4.954654052056547,19.4783769683244,14.17334666309226,14.532073157889881,14.754769896532737,25.42139512722619,29.04672957584524,16.006408270285718,9.43146759634524,9.578329362738094,29.333905997836315,12.922204648723211,11.273628825217262,14.351610498660715,7.128258925386904,11.701386025922618,11.893077880130955,19.146016870758928,21.102625295604163,11.800119739511903,6.236532550910714,7.461196917800594,21.1804692235625,6.553034620815476,7.0434799209821435,40.356127052363085,81.48543684830358,51.06082036377976,52.375236601964296,33.53689425243453,29.900117601482147,51.10922291970239,67.09262235955357,63.18468932336309,29.298100720946426,85.54510553651785,72.16285375782738,1.2909076502234689,1.0571657419451186,1.016666449789081,1.166434363806855,1.6977242427836992,1.4608610177477712,1.3401249030571343,1.0875634945807329,1.0853773900985189,1.5895620899438303,1.4357910175060056,1.263715513712869
2018-10-30,194.29932803184525,119.52767344741075,139.8239733175595,136.91120084136904,347.82197048630945,243.8502364369047,228.56238789761906,127.25857203363095,116.6633637761905,233.4291442223214,118.63605787473216,127.25386335684523,9.003524014214287,4.356800686723215,0.6035880982559524,0.5828433886011904,18.750304124488093,15.03751187225893,1.4071000952648807,1.118328948199405,1.069082680690476,3.4762349288571435,1.9416299156190477,2.126791894440476,28.47863687518452,7.360469824827382,6.028325505565476,5.09685696642262,23.91875671217857,11.49373308827381,20.27239420071726,4.673883814517858,2.183463737544643,31.853176839488096,3.067801183520834,5.242243065321428,12.55522670621726,13.049523102339283,7.593574775154762,7.498706266318452,36.29715230910715,30.700016095624996,14.53428538965476,5.99421805495238,5.0152730451875005,17.303010607654763,11.283185436386905,7.109590358288691,8.652632723148809,5.286768513797619,5.769114773955357,5.793673748005952,28.249880248577377,22.815017229255954,10.319018125845238,3.7201119022708333,3.430009357651786,12.733795612363096,4.317674950119048,3.394017206767857,36.63948586442262,73.13102937872024,50.98788420363095,51.65440445848214,22.894144822827375,36.03711416192559,43.49130850237499,62.63418819235119,55.978226916964275,30.772321563160716,77.28238931154762,65.19115439494047,1.19858002109144,0.9118368040073463,0.787411530549045,0.9649572755139731,1.340107328817005,1.275289914669499,1.2130383976010284,0.8687654057763695,0.8612928090904504,1.9345812522720942,1.6416932021429125,1.1230853792963666
2018-11-13,202.49124577142857,113.45939608803573,152.98253790357145,152.2124678294643,377.0045326761905,272.92518892678567,255.38640546964285,128.47572335535713,124.55324904077382,289.19200529553575,116.04937937309523,125.98344614583333,6.416381467627978,4.72212855807143,0.6825632288720238,0.6364734305029762,15.618073005113093,12.657008644324405,1.4569674409791666,1.2284331420208332,0.8496752249315476,4.444914075247024,1.7712286450297619,1.875729502657738,25.77177698558631,9.079233111886905,7.80727403472619,6.703203936077382,20.923156847526787,12.80111908907738,23.581806096300596,5.443011534309524,2.7093058780357135,35.63793818747024,3.707537693488095,4.677643801526785,15.868015919306545,21.17628458770536,16.26023879922619,16.705144213175593,27.372291424568452,25.91055555569643,14.744471513092263,8.961558601407736,8.668576271083333,26.087710340523813,19.08002295277381,11.678934174985118,10.649606951529764,9.619611976624999,12.947372912886905,13.538522274654762,21.86240409666072,22.51300032504762,11.7013108654375,5.016296252422619,5.979504537196427,21.196361382696427,8.135964565729168,5.456473002580357,33.01502770658036,66.42258161583332,44.98155912348214,45.10052816071428,25.383692938922625,19.538292564806547,33.53104411733334,58.55780733747023,52.04224517220239,14.315311359272915,70.68655867842263,63.984994928035725,1.1808959077507957,0.9435892339782994,0.8499159017621573,1.0375043171286824,1.53310365497639,1.248581062653774,1.357039416476951,1.0909062462052512,1.0940933653999407,1.6429846029639796,1.4032434653110177,1.2318585552557944
