date,Athens_CO,Rome_CO,Lisbon_CO,Madrid_CO,Valencia_CO,Paris_CO,Athens_SO2,Rome_SO2,Lisbon_SO2,Madrid_SO2,Valencia_SO2,Paris_SO2,Athens_NO2,Rome_NO2,Lisbon_NO2,Madrid_NO2,Valencia_NO2,Paris_NO2,Athens_PM10,Rome_PM10,Lisbon_PM10,Madrid_PM10,Valencia_PM10,Paris_PM10,Athens_PM2p5,Rome_PM2p5,Lisbon_PM2p5,Madrid_PM2p5,Valencia_PM2p5,Paris_PM2p5,Athens_O3,Rome_O3,Lisbon_O3,Madrid_O3,Valencia_O3,Paris_O3,Athens_MDAQI,Rome_MDAQI,Lisbon_MDAQI,Madrid_MDAQI,Valencia_MDAQI,Paris_MDAQI
2018-07-06,338.2620880494047,169.82599244464288,96.00149763095237,92.5934245240476,93.30187277511904,174.71713577023814,6.124175414056547,1.1985312515863096,1.3990836220803569,1.559968449279762,1.7696764664166669,2.3262658246964287,29.02801471948809,15.10612455075,4.987530334922619,2.449786563895834,3.039893177815476,23.560696956571427,19.473221872675598,16.572609793511905,22.853597659407736,14.662415139532738,24.557018587967264,21.37622327778274,15.132648070532738,11.913143075422619,13.244356935803575,9.814791045029763,12.229724175315477,14.446847550845236,79.28193380779761,78.64697595372023,87.55661643294641,77.24252403410715,94.98799670446428,73.93561008517858,1.943864816889104,1.5343384197446654,1.5710791992675648,1.26250226548948,1.622116869090722,1.7285653550496427
2018-07-20,396.2364190851191,202.6365113717262,101.82036134223213,98.85091268428573,97.50569813488096,186.78330382857143,4.9194294374166665,1.1213340874375,1.662730759291667,1.341971851104167,2.3095472172797615,2.4258034914077378,26.90139801807143,15.725113928377978,6.03617334296131,2.284015400616071,3.903768948083333,23.70085755582738,24.335170692125,17.491484896092263,19.054993900738094,16.31620882000595,21.10383730594643,22.26883973250298,16.556501660809523,13.292392089041668,13.716001350380953,12.107334865199403,13.646436351151786,14.576559150502977,74.25756414789286,79.96877402808629,88.17622683107142,75.11848972330357,90.36408282505953,82.45204196642858,1.9453942667668966,1.604346658751688,1.5652729779237244,1.3059786912934201,1.5872623733940714,1.83622536899761
2018-08-03,241.26319199672616,214.56956665892855,102.98256837851193,99.80257860675594,101.27979532886904,166.5697708565476,3.9710913914196433,0.9843877729761905,1.1435152151547618,1.4126089314107144,1.665123957877976,1.992033883032738,19.573000154276787,17.536991272220238,4.097268406139881,2.434263660702381,2.4453732960476193,20.296798410880957,16.000972398598215,14.16515244198214,16.226848374583334,12.488596631101192,17.250779119217263,15.971599305074406,10.593917349794642,11.398169470675596,9.459464759967261,7.799182049723213,8.886062499988094,10.817516308550596,74.15844519693452,61.09392003366964,84.32136769571432,71.7162029238095,87.09592731666669,55.10690519440774,1.5679315017541977,1.3548607262463193,1.3655292604811393,1.1355276461557258,1.3766720324928696,1.3400016298779323
2018-08-17,287.3090423630952,214.91932769226193,116.68780776250001,112.64042676952381,117.0050680305357,189.88955584107143,4.654442685636904,1.0963976075595236,1.266534697970238,1.601091968639881,2.0275353688184525,2.5276394697529763,21.97495073085119,14.430067212130952,5.004677416261905,3.015918983377976,3.5132281264672613,23.13539147775893,17.58416927429464,15.802096888324401,14.940883250619047,12.034360682937502,15.89401803975,18.143675603877977,11.852425751241071,11.536376148071426,9.210068992354167,8.709154536315477,8.785710678211311,11.687295677306551,72.40902079862202,68.95831172763691,80.73147031360119,65.38365685440476,80.26086345199404,47.5443589516756,1.648701333832572,1.4164660221462229,1.3258101813816459,1.09838645307387,1.3115758686329346,1.3568063593521604
2018-08-31,381.37906001666664,260.6407576994048,115.93904885922619,117.69783665053572,116.21800890535714,223.06701483214286,5.722333193148809,1.4279105317232141,1.1150000118273808,1.103019329547619,1.4393220710535715,3.2522951396547617,27.09358543996726,22.93507435322916,3.1454356413630946,1.6604707341458333,2.07801545977381,30.59131317482143,20.86114756278869,17.870466455214284,17.101669351372024,13.239457571684525,17.07604112806845,20.540608542508924,14.99273744778274,14.231001601342257,9.753155283541668,9.199900773752976,9.29538144235119,14.670293893059522,69.13637865705357,61.50448455235118,81.5105331617857,67.50211715675597,90.5486687825,51.02303577608035,1.828535198212716,1.5551157653201317,1.3419811972769262,1.1204866918681173,1.4152363662911494,1.6070799528308777
2018-09-14,286.81200803869046,214.20542542172623,117.55197237014882,114.63701999622023,114.85432538562499,223.31534514940475,4.3040980413184515,1.2225759817946429,1.3979792317142863,1.7512928053244052,2.1547718679910712,2.880034270032738,20.4836776866756,19.524205387151788,4.602604336017857,2.4874407166190475,4.09884752902381,28.773889733625005,15.51508545533036,15.341313936119048,13.459809186815477,11.812837920598213,15.747484570958333,20.371513583937496,8.796701247369047,11.383498751815472,9.211324235502977,8.350076517205357,9.376643966693452,13.342955623470237,65.82991057265477,53.630844309184525,74.76955017657738,65.806765888125,80.55733132880951,47.19425362356845,1.4637723970463004,1.320552137649335,1.2436523611866976,1.0874910444931685,1.3354857848196324,1.5056752221077283
2018-09-28,327.652663547619,232.7880731752976,122.14011582839287,115.76374978199405,119.19107687095239,234.42274191369046,5.841982151047619,1.3551129308333334,1.408962446654762,1.5424932934166669,2.2746236036904763,3.6196039876101187,28.336532209520833,22.778838383223214,5.219660931437501,2.5845996973095238,4.205532540336309,33.65755212300893,17.32278120869048,14.578159106660717,10.775399020461307,9.863476152327381,11.47718853117559,22.002870294336308,12.274052052312499,11.845171730044642,6.92024887503869,6.592755699116073,6.371710944434524,15.97397511350893,52.1531300489762,52.67091466725596,71.41990083214286,65.29621427428572,77.80523615276785,39.28578849490476,1.5579624151379325,1.3637276073617648,1.137829703356525,1.0202953552348353,1.1967064225877573,1.5802228547582209
2018-10-12,368.27526437559527,244.64933034464292,126.54655604375,120.51320175758927,128.4449954017262,244.0394101363095,6.7937272318750015,1.2657363402380948,1.1718354403809526,1.7375940124285714,2.4615494091875,4.2729064400267855,30.470455470607146,18.444440588639882,4.939304373431548,2.3999677983184524,4.963614517645833,34.76123518711904,21.89905170752976,16.623298517556552,10.24657677439881,9.917473237273809,12.210176540309524,29.66775046938393,15.98679358401488,11.889759853732144,6.260180740910714,7.469679988857142,7.04546120597619,21.397605109901786,47.60362368124107,48.73103343547619,66.77273289366073,62.698208178988104,71.68036464872026,32.16607270890178,1.6959243467394087,1.2878342477435314,1.06287133828682,1.0144877986684213,1.1712467913105804,1.7380789090006714
2018-10-26,303.7224735988096,194.70087684821425,127.8605925922619,118.03394574315476,128.6348264547619,230.66473461160712,6.576136894877976,1.4071000952648807,1.118328948199405,1.069082680690476,2.126791894440476,3.4762349288571435,29.265815485125,19.46612949017857,4.596888159693452,2.1528102611785713,5.2135706618005955,30.922283540321423,26.664483297672614,13.811432326520832,4.801269727464286,4.105606437770834,5.878504044586309,18.05175146232738,17.90973046851786,9.74467422674405,3.3850166616785713,2.989188358565476,3.123147775017857,12.904262041136903,45.442365488648804,47.14927993555953,62.96862653901785,56.6065194549107,64.68336076413689,30.115420168300595,1.7340903838076351,1.1966286062086404,0.8936929485637138,0.7739534018205253,0.9399002738627721,1.331784825264577
2018-11-09,295.2618052854167,275.90559902738096,128.34686964910713,123.51843243541667,124.9703915017857,276.7752596098215,5.961345278375,1.4569674409791664,1.2284331420208334,0.8496752249315476,1.875729502657738,4.444914075247024,23.29294270690179,24.10149191389286,5.468284911294644,2.730001752068452,4.707377057744047,36.09961441610118,16.571842003663686,16.93100684311012,10.01056142367857,9.541745783357143,12.635010852672618,24.74651198415476,11.196290244059526,12.66357035921131,5.36425676621131,6.390204283464286,5.747123236032738,20.43856233913095,40.159429785702386,32.279599454,57.9995339425,53.0111326035119,64.54852357928571,16.830352235356248,1.32456355062961,1.2256417880901707,0.9574822685888276,0.8788780815163012,1.0606281339705934,1.5310156165475484
